timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.000000,-0.831055,0.268555,9.795898,-0.218506,0.603760,0.017334
0.009320,-0.831055,0.274414,9.816406,-0.297363,0.656250,-0.026367
0.018641,-0.820312,0.262695,9.808594,-0.244873,0.656250,-0.026367
0.027961,-0.830078,0.268555,9.800781,-0.262451,0.638916,0.017334
0.037282,-0.831055,0.266602,9.817383,-0.253662,0.621338,0.043701
0.046602,-0.823242,0.277344,9.804688,-0.279785,0.621338,-0.043945
0.055923,-0.826172,0.277344,9.795898,-0.279785,0.612549,-0.017578
0.065243,-0.826172,0.275391,9.792969,-0.244873,0.647705,-0.035156
0.074563,-0.826172,0.274414,9.818359,-0.236084,0.691406,-0.026367
0.083884,-0.819336,0.266602,9.806641,-0.244873,0.656250,-0.061279
0.093204,-0.829102,0.266602,9.802734,-0.341064,0.621338,-0.035156
0.102525,-0.819336,0.280273,9.806641,-0.288574,0.630127,-0.017578
0.111845,-0.820312,0.266602,9.801758,-0.218506,0.673828,-0.026367
0.121166,-0.815430,0.270508,9.811523,-0.244873,0.673828,-0.043945
0.130486,-0.820312,0.274414,9.799805,-0.332275,0.630127,-0.043945
0.139806,-0.826172,0.269531,9.811523,-0.306152,0.586426,0.000000
0.149127,-0.825195,0.279297,9.806641,-0.218506,0.656250,-0.008789
0.158447,-0.833984,0.274414,9.799805,-0.236084,0.665039,-0.052734
0.167768,-0.834961,0.270508,9.808594,-0.253662,0.595215,-0.113770
0.177088,-0.828125,0.273438,9.804688,-0.288574,0.665039,-0.052734
0.186408,-0.833008,0.277344,9.806641,-0.227295,0.656250,-0.008789
0.195729,-0.850586,0.277344,9.801758,-0.227295,0.638916,-0.008789
0.205049,-0.838867,0.267578,9.796875,-0.271240,0.621338,-0.026367
0.214370,-0.833984,0.275391,9.811523,-0.262451,0.577637,0.017334
0.223690,-0.828125,0.268555,9.800781,-0.332275,0.665039,-0.026367
0.233011,-0.826172,0.273438,9.802734,-0.306152,0.656250,0.000000
0.242331,-0.834961,0.274414,9.808594,-0.209961,0.691406,0.008545
0.251651,-0.833984,0.267578,9.806641,-0.262451,0.647705,-0.035156
0.260972,-0.836914,0.280273,9.802734,-0.209961,0.647705,-0.008789
0.270292,-0.833008,0.273438,9.816406,-0.332275,0.630127,-0.008789
